// 한 글자 이름 유의
//文	아야	1	QPN
//星	쇼우	1	QPN
//空	우츠호	1	QPN
//舞	마이	1	QPN
橙	첸	1	QPN
藍	란	1	QPN
紫	유카리	0	QPN
椛	모미지	1	QPN
赤	세키	1	QPN
雛	히나	1	QPN
麟	린	1	QPN
あなた	당신	1	QPN
霊夢	레이무	1	QPN
カナ	카나	1	QPN
魅魔	미마	1	QPN
サニー	서니	1	QPN
サニーミルク	서니 밀크	1	QPN
ルナ	루나	1	QPN
ルナチャイルド	루나 차일드	1	QPN
スター	스타	1	QPN
スターサファイア	스타 사파이어	1	QPN
ちゆり	치유리	1	QPN
岡崎 夢美	오카자키 유메미	1	QPN
夢美	유메미	1	QPN
萃香	스이카	1	QPN
伊吹 萃香	이부키 스이카	1	QPN
魔理沙	마리사	1	QPN
ルーミア	루미아	1	QPN
大妖精	대요정	1	QPN
チルノ	치르노	1	QPN
咲夜	사쿠야	1	QPN
レミリア スカーレット	레밀리아 스칼렛	1	QPN
レミリア	레밀리아	1	QPN
スカーレット	스칼렛	1	QPN
アリス	앨리스	1	QPN
リリー ホワイト	릴리 화이트	1	QPN
リリー ブラック	릴리 블랙	1	QPN
リリカ	리리카	1	QPN
メルラン	메를랑	1	QPN
ルナサ	루나사	1	QPN
妖夢	요우무	1	QPN
八雲 紫	야쿠모 유카리	0	QPN
リグル	리글	1	QPN
ミスティア	미스티아	1	QPN
ミスティア ローレライ	미스티아 로렐라이	1	QPN
文官	문관	1	QPN
射命丸	샤메이마루	1	QPN
四季映姫	시키에이키	1	QPN
ヤマザナドゥ	야마자나두	1	QPN
早苗	사나에	1	QPN
神奈子	카나코	1	QPN
八坂 神奈子	야사카 카나코	1	QPN
諏訪子	스와코	1	QPN
天子	텐시	1	QPN
衣玖	이쿠	1	QPN
永江 衣玖	나가에 이쿠	1	QPN
お燐	린	1	QPN
こいし	코이시	1	QPN
ナズーリン	나즈린	1	QPN
小傘	코가사	1	QPN
ぬえ	누에	1	QPN
はたて	하타테	1	QPN
華扇	카센	1	QPN
茨木 華扇	이바라키 카센	1	QPN
エレン	엘렌	1	QPN
ふわふわエレン	둥실둥실엘렌	1	QPN
理香子	리카코	1	QPN
朝倉 理香子	아사쿠라 리카코	1	QPN
明羅	메이라	1	QPN
里香	리카	1	QPN
ルイズ	루이즈	1	QPN
さとり	사토리	1	QPN
フランドール スカーレット	플랑도르 스칼렛	1	QPN
フランドール	플랑도르	1	QPN
にとり	니토리	1	QPN
鈴仙	레이센	1	QPN
鈴仙・優曇華院・イナバ	레이센·우돈게인·이나바	1	QPN
てゐ	테위	1	QPN
因幡 てゐ	이나바 테위	1	QPN
パチュリー・ノーレッジ	파츄리·널릿지	1	QPN
パチュリー	파츄리	1	QPN
白蓮	뱌쿠렌	1	QPN
豊聡耳	토요사토미미노	1	QPN
神子	미코	1	QPN
秦こころ	하타노 코코로	1	QPN
こころ	코코로	1	QPN
美鈴	메이링	1	QPN
紅美鈴	홍 메이링	1	QPN
小悪魔	소악마	1	QPN
パルスィ	파르시	1	QPN
水橋 パルスィ	미즈하시 파르시	1	QPN
妹紅宅	모코집	1	QPN
妹紅	모코우	1	QPN
輝夜	카구야	1	QPN
今泉影狼	이마이즈미 카게로	1	QPN
影狼	카게로	1	QPN
勇儀	유우기	1	QPN
幽々子	유유코	1	QPN
慧音	케이네	1	QPN
風見 幽香	카자미 유카	1	QPN
幽香	유카	1	QPN
マミゾウ	마미조	1	QPN
小鈴	코스즈	1	QPN
針妙丸	신묘마루	1	QPN
永琳	에이린	1	QPN
蛮奇	반키	1	QPN
レティ・ホワイトロック	레티·화이트락	1	QPN
レティ	레티	1	QPN
メディスン・メランコリー	메디슨·멜랑콜리	1	QPN
メディスン	메디슨	1	QPN
小野塚 小町	오노즈카 코마치	1	QPN
小町	코마치	1	QPN
静葉	시즈하	1	QPN
穣子	미노리코	1	QPN
阿求	아큐	1	QPN
蓮子	렌코	1	QPN
宇佐見 蓮子	우사미 렌코	1	QPN
マエリベリー・ハーン	마에리베리·한	1	QPN
メリー	메리	1	QPN
キスメ	키스메	1	QPN
ヤマメ	야마메	1	QPN
一輪	이치린	1	QPN
水蜜	미나미츠	1	QPN
寅丸	토라마루	1	QPN
響子	쿄코	1	QPN
芳香	요시카	1	QPN
宮古 芳香	미야코 요시카	1	QPN
青娥	청아	1	QPN
屠自古	토지코	1	QPN
布都	후토	1	QPN
物部 布都	모노노베 후토	1	QPN
わかさぎ姫	와카사기히메	1	QPN
弁々	벤벤	1	QPN
八橋	야츠하시	1	QPN
雷鼓	라이코	1	QPN
堀川 雷鼓	호리카와 라이코	1	QPN
正邪	세이자	1	QPN
依姫	요리히메	1	QPN
豊姫	토요히메	1	QPN
レイセン	레이센	1	QPN
朱鷺子	토키코	1	QPN
神綺	신키	1	QPN
夢子	유메코	1	QPN
ユキ	유키	1	QPN
マイ	마이	1	QPN
菫子	스미레코	1	QPN
宇佐見 菫子	우사미 스미레코	1	QPN
清蘭	세이란	1	QPN
鈴瑚	링고	1	QPN
ドレミー	도레미	1	QPN
ドレミー・スイート	도레미·스위트	1	QPN
サグメ	사구메	1	QPN
クラウンピース	클라운피스	1	QPN
純狐	순호	1	QPN
へカーティア・ラピスラズリ	헤카티아 라피스라줄리	1	QPN
ﾍｶｰﾃｨｱ	헤카티아	1	QPN
森近 霖之助	모리치카 린노스케	1	QPN
霖之助	린노스케	1	QPN
妖忌	요우키	1	QPN
雲山	운잔	1	QPN
夢月	무게츠	1	QPN
幻月	겐게츠	1	QPN
玄爺	겐즈이	1	QPN
神玉	신교쿠	1	QPN
菊理	키쿠리	1	QPN
矜羯羅	콘가라	1	QPN
エリス	에리스	1	QPN
小兎姫	코토히메	1	QPN
くるみ	쿠루미	1	QPN
エリー	에리	1	QPN
命蓮	묘렌	1	QPN
ﾙｰﾐｱ	루미아	1	QPN
ﾊﾟﾁｭﾘｰ	파츄리	1	QPN
ﾌﾗﾝﾄﾞｰﾙ	플랑도르	1	QPN
ﾐｽﾃｨｱ	미스티아	1	QPN
ﾒﾃﾞｨｽﾝ	메디슨	1	QPN
ﾚｲｾﾝ	레이센	1	QPN
